#,   Rep, Win, BC,  BS,  RC,  RS,  Time
1543227267,   1,   1,   2,   9,   2,   8,   21
2004399637,   1,   2,   5,   6,   2,   8,   34
1392176678,   1,   1,   4,   7,   0,   10,   60
3670012,   1,   2,   10,   1,   3,   7,   42
477354023,   1,   2,   1,   10,   3,   7,   41
944134571,   1,   2,   8,   3,   1,   9,   38
1405630443,   1,   0,   0,   11,   9,   1,   10000
1580371678,   1,   1,   4,   7,   9,   1,   16
2052432169,   1,   1,   1,   10,   0,   10,   37
1743919888,   1,   4,   10,   1,   8,   2,   19
433205142,   1,   2,   6,   5,   1,   9,   27
1022283904,   1,   0,   0,   11,   3,   7,   10000
132277867,   1,   1,   1,   10,   0,   10,   54
